Card Name,General Description,Central Figure,Supporting Elements,Background Details,Art Style,Text and Borders,Mood and Symbolism,Upright Meaning,Reversed Meaning,Keywords,Symbolism,Variations
Queen of Cups,"The card features a regal figure emerging from water, adorned with a floral crown and a shimmering dress. Vibrant, swirling colors surround her, creating a mystical and emotional atmosphere.","A serene queen with curly black hair and a delicate floral crown. Her gaze is calm and compassionate, emphasizing emotional depth.","She stands in a pool of water, surrounded by vibrant colors, fish, and swirling waves that symbolize intuition and emotional flow.","The background is a mix of radiant blues, greens, and purples, with glowing swirls and natural elements, creating an ethereal, dreamlike ambiance.","Richly detailed and colorful, blending surrealism and fantasy with an emphasis on emotional resonance and natural beauty.","The text 'Queen of Cups' is displayed on a white ribbon at the bottom. A Roman numeral 'XIII' is framed at the top of the card, adding a classical touch.","The card radiates compassion, intuition, and emotional harmony. The water and swirling colors emphasize connection to the subconscious and nurturing qualities.","Compassion, emotional balance, and intuition. A nurturing figure who offers support and understanding.","Emotional instability, insecurity, or neglecting 1's own needs. Difficulty in managing emotions or offering care.","['Compassion', 'Intuition', 'Nurturing', 'Emotional Balance']","The water represents emotional depth and intuition, while the floral crown symbolizes compassion and nurturing qualities.","[""Cups Queen"", ""Queen Cups"", ""Cups Of Queen"", ""The Queen Of Cups"", ""The Queen Cups"", ""Queen Of Cups""]"
King of Cups,"The card features a regal figure seated on a throne, holding a golden chalice in 1 hand. The figure is dressed in traditional robes with blue and gold accents, symbolizing wisdom and emotional mastery.","The central figure is a bearded man wearing a crown adorned with golden details, signifying his authority and wisdom.","The figure holds a chalice in his right hand, symbolizing emotional fulfillment and balance. His left hand rests on the arm of his throne.","The background features a simple, muted palette, emphasizing the figure’s authority and the ornate details of his attire.","Traditional Marseille-style tarot art with bold outlines, flat colors, and intricate details on the figure’s clothing and accessories.","The text 'Roy de Coupe' is written at the bottom of the card, framed by a thin border with black lines.","The card exudes a sense of calm, emotional maturity, and balanced leadership, symbolizing mastery over 1’s emotions.","Emotional balance, compassion, and diplomacy. A wise and caring leader who guides with empathy.","Emotional manipulation, moodiness, or a lack of emotional control. Difficulty in expressing emotions healthily.","['Emotional Balance', 'Compassion', 'Wisdom', 'Leadership']","The chalice symbolizes emotional fulfillment and control, while the throne represents authority and stability in emotional matters.","[""Cups King"", ""The King Of Cups"", ""King Of Cups"", ""King Cups"", ""The King Cups"", ""Cups Of King""]"
3 of Pentacles,"The card has a traditional tarot style, with detailed, hand-drawn linework and a muted, earthy color palette. The aged effect around the edges gives it a weathered, vintage look.","A gothic archway serves as the focal point, with 2 figures in the foreground: a standing figure in a dark robe offering guidance, and a reclining figure, frail and draped in an earthy-toned patterned blanket.","The connection between the figures suggests compassion, healing, or caregiving. The floor beneath them is made of stone tiles, and the archway is adorned with geometric and floral carvings.","The scene is indoors, possibly in a cathedral or abbey, with detailed stonework and faint light streaming through the top of the archway, creating a solemn atmosphere.","Hand-drawn with intricate linework, muted earthy tones, and a weathered vintage look.","A thin, pale frame surrounds the scene, while no visible text distracts from the central artwork.","Themes of collaboration, compassion, and guidance, highlighted by the interaction between the standing and reclining figures.","Teamwork, collaboration, and skillful planning lead to success. Recognizing the value of others? contributions is key.","Disorganization, lack of teamwork, or undervaluing the skills of others, leading to stalled progress or conflict.","['Teamwork', 'Collaboration', 'Skill', 'Craftsmanship']","The gothic archway and 2 figures symbolize the importance of collaboration, shared goals, and building something lasting together.","[""The 3 of Pentacles"", ""The Three of Pentacles"", ""3 of Pentacles"", ""Three of Pentacles"", ""Pentacles 3"", ""The 3 Of Pentacles"", ""3 Pentacles"", ""The 3 Pentacles"", ""3 Of Pentacles"", ""Pentacles Of 3""]"
7 of Pentacles,"The card depicts 7 golden pentacles arranged in a symmetrical pattern, surrounded by blue and white floral motifs, creating a sense of balance and growth.",There is no human or animal figure; the central focus is on the arrangement of the pentacles.,Blue and white flower-like decorations add a natural and serene ambiance.,"A simple black background emphasizes the central symbols, giving the card a clean and modern look.","The design features a minimalist and decorative style, with bold colors and clean lines, reminiscent of contemporary tarot decks.","The title '7 of Pentacles' is printed at the bottom in an elegant serif font, with no distinct border around the card.","The card conveys themes of patience, assessment, and long-term effort, represented by the growing floral motifs and the careful arrangement of pentacles.","Hard work, patience, evaluation of progress, investment, and waiting for results.","Frustration with delayed results, lack of investment, or re-evaluation of effort.","['Patience', 'Assessment', 'Hard work', 'Investment', 'Growth']","The pentacles symbolize material wealth and rewards, while the flowers represent natural growth and development over time.","[""The 7 Of Pentacles"", ""The 7 of Pentacles"", ""The Seven of Pentacles"", ""The 7 Pentacles"", ""7 Of Pentacles"", ""7 Pentacles"", ""Pentacles Of 7"", ""Seven of Pentacles"", ""7 of Pentacles"", ""Pentacles 7""]"
8 of Pentacles,"A nude figure stands confidently against a vivid backdrop, with 8 pentacles arching above their head, symbolizing focus and craftsmanship.","The central figure, unadorned and unapologetic, represents dedication and self-assuredness.","The 8 pentacles above the figure emphasize skill, effort, and accomplishment.","The backdrop features deep blues blending into red, creating a stark contrast that highlights the figure and pentacles.","A bold, modern illustration style with vibrant colors and fluid lines, emphasizing individuality and expression.","The word 'Pentacles' appears at the bottom in a playful white font, with no distinct border framing the card.","The card conveys themes of dedication, mastery, and self-improvement, with a focus on personal effort and growth.","Hard work, dedication, skill development, and craftsmanship.","Lack of focus, poor workmanship, or burnout.","['Dedication', 'Skill', 'Effort', 'Craftsmanship', 'Focus']","The 8 pentacles represent the rewards of hard work and mastery, while the figure's stance underscores confidence and commitment.","[""8 Of Pentacles"", ""The Eight of Pentacles"", ""8 Pentacles"", ""The 8 of Pentacles"", ""Pentacles 8"", ""The 8 Pentacles"", ""8 of Pentacles"", ""Eight of Pentacles"", ""The 8 Of Pentacles"", ""Pentacles Of 8""]"
Queen of Pentacles,"The card features a warm, vibrant aesthetic with earthy tones of gold, red, and green. The bold and lively illustration evokes abundance, hospitality, and connection.","A radiant, smiling woman exuding warmth and generosity. She wears a golden top adorned with a goat or ram graphic, symbolizing practicality and grounded energy, and a medallion hangs from her neck. Her flowing hair with red highlights and bold gold earrings emphasize her wealth and status.","She holds a spoon filled with food in 1 hand, actively serving her guests, while her other hand is raised in a gesture of welcome or laughter. The foreground features a table overflowing with food: a freshly baked pie, fruits, and vegetables. Guests at the table express admiration and gratitude.","A lush backdrop of greenery, including vines and plants, enhances the inviting environment. Golden orbs resembling lanterns or celestial bodies add a mystical, comforting touch.","Bold and lively, with earthy tones of gold, red, and green creating a sense of warmth and celebration.","A thin red border surrounds the artwork, amplifying the vibrant tones. The title 'Queen of Pentacles' is written at the bottom in a bold, hand-painted style, accompanied by a pentacle symbol to reinforce the card?s connection to material abundance.","Themes of generosity, nurturing, and prosperity. The queen?s act of serving food reflects her role as a provider and caretaker, while the abundant table symbolizes material success and shared wealth.","Nurturing, providing care, and material success. A grounded, practical individual who shares their wealth and offers support to others.","Overextending oneself, focusing too much on material success at the expense of personal well-being. Neglecting 1?s own needs while caring for others.","['Generosity', 'Nurturing', 'Prosperity', 'Hospitality', 'Abundance']","The overflowing table represents abundance and sharing, while the goat or ram graphic on her top signifies practicality and connection to the Earth. Golden orbs in the background suggest celestial protection and mystical abundance.","[""The Queen Pentacles"", ""Pentacles Of Queen"", ""The Queen Of Pentacles"", ""Pentacles Queen"", ""Queen Of Pentacles"", ""Queen Pentacles""]"
Ace of Swords,"The card depicts a massive sword piercing through a radiant white sphere, with a glowing crown at its hilt. A small, shadowed figure stands at the bottom, raising a sword to the larger 1, symbolizing empowerment and clarity.","A towering sword with a glowing aura, crowned at the hilt, dominates the scene.","A lone figure in silhouette raises their sword toward the larger blade, symbolizing alignment and the pursuit of truth.","A mystical, swirling blue and purple background with celestial designs and abstract symbols. Crystal formations emerge from the ground.","Futuristic and ethereal, blending vibrant gradients with crisp, glowing edges and minimalist lines.","The title 'ACE OF SWORDS' is written in a modern serif font at the bottom, spaced with dots between words. The artwork extends to the edges without a distinct border.","The card evokes themes of clarity, intellectual breakthrough, and the cutting away of confusion. It calls for the seeker to wield their intellect and decisiveness with precision and grace.","Truth, clarity, and the power of new ideas; a mental breakthrough or the need for decisive action.","Miscommunication, clouded judgment, or the misuse of intellect; hesitancy in making a critical decision.","['Clarity', 'Breakthrough', 'Truth', 'Intellect', 'Decisiveness']","The large sword represents the pursuit of knowledge and truth, while the crown symbolizes triumph and clarity. The figure below represents personal empowerment through understanding.","[""Ace Of Swords"", ""Ace Swords"", ""Swords Ace"", ""The Ace Swords"", ""The Ace Of Swords"", ""Swords Of Ace""]"
2 of Swords,"The card depicts a central guillotine with a stark, minimalistic design. The blade is sharp and clean, featuring a circular notch with a crescent moon symbol, emphasizing themes of mystery and finality.","A tall guillotine with a rectangular frame and simple crossbars, its blade poised downward with a circular notch featuring a black crescent moon symbol.","The guillotine stands against a backdrop of muted rolling hills or mountains. A torn ribbon or banner flutters from its side, adding movement and evoking aftermath.","The sky is dark and cloudy, with streaks of black clouds cutting across a pale beige horizon, creating a foreboding atmosphere.","Minimalistic yet symbolic, with muted tones of green, brown, and black evoking an aged, introspective feel.","The Roman numeral '10' is displayed in a bold oval frame at the top of the guillotine. At the bottom, 'swords' is written in thin lowercase script, blending into the dark base. The card has no defined border, allowing the imagery to dominate.","Themes of endings, consequences, and finality. The guillotine symbolizes inevitability, sacrifice, and the release that comes with making decisions.","Difficult choices, indecision, and weighing opposing options. A call to confront challenges with clarity and resolve.","Avoidance, confusion, or the inability to make a decision. A sense of being trapped by uncertainty or fear of consequences.","['Choices', 'Indecision', 'Endings', 'Sacrifice', 'Resolution']","The guillotine represents the finality and consequences of decisions, while the crescent moon on the blade highlights mystery and introspection. The torn ribbon suggests aftermath and the passage of time.","[""Two of Swords"", ""2 Of Swords"", ""Swords 2"", ""Swords Of 2"", ""The 2 Swords"", ""The 2 Of Swords"", ""2 of Swords"", ""The 2 of Swords"", ""The Two of Swords"", ""2 Swords""]"
3 of Swords,"The card features a heart-like object, fragmented and pierced by 3 swords, with a swirling background of stormy colors blending red, black, and purple.","The central figure is a broken heart-like shape, with jagged pieces and vivid red and black tones, symbolizing emotional pain.","3 swords are shown piercing the heart, with jagged blades and ornate hilts. The surrounding colors and fragmented patterns enhance the dramatic and sorrowful tone.","The swirling background of stormy hues—red, black, and purple—creates an intense emotional atmosphere, resembling chaos or turbulence.","Expressionistic and dramatic, with bold brushstrokes and collage-like textures to amplify the emotional intensity.","The text 'III Swords' is written in black serif font within a pale yellow banner at the bottom of the card. The card has a subtle border with soft, curving edges.","The card conveys heartbreak, betrayal, and emotional turmoil, with the imagery of piercing swords reinforcing themes of pain and loss.","Heartbreak, sorrow, and emotional pain caused by loss or betrayal.","Healing from heartbreak, recovery from emotional wounds, or letting go of sorrow.","['Heartbreak', 'Betrayal', 'Sorrow', 'Emotional Turmoil']","The fragmented heart symbolizes emotional pain, the swords represent the sharpness of betrayal or sorrow, and the stormy background evokes the turmoil of difficult emotions.","[""3 Swords"", ""3 of Swords"", ""The 3 Swords"", ""The 3 of Swords"", ""The 3 Of Swords"", ""The Three of Swords"", ""Swords 3"", ""3 Of Swords"", ""Swords Of 3"", ""Three of Swords""]"
4 of Swords,"The card features 4 identical faces with closed eyes stacked vertically, each pierced by a sword. The simplistic and symmetrical design evokes a sense of calm and introspection.","4 cartoonish, minimalist faces with closed eyes and rosy cheeks, arranged in a straight vertical line.","Each face is pierced by a sword with a golden hilt and a brown grip, symbolizing rest and contemplation in the midst of conflict.","The background is plain and beige, emphasizing the minimalist and serene tone of the artwork.","Modern minimalist with clean lines, soft colors, and a playful yet thoughtful aesthetic.","The card has no visible text or border, allowing the central imagery to take full focus.","The card conveys rest, recovery, and introspection, with the symmetrical composition reinforcing themes of balance and tranquility.","Rest, recovery, and taking time for reflection and healing after conflict or difficulty.","Burnout, stagnation, or difficulty finding peace. A call to take the rest you need before moving forward.","['Rest', 'Recovery', 'Reflection', 'Healing']","The closed eyes represent rest and meditation, while the swords symbolize the need to prepare for challenges ahead through stillness and inner work.","[""Four of Swords"", ""4 Swords"", ""The 4 of Swords"", ""The 4 Swords"", ""The Four of Swords"", ""Swords 4"", ""The 4 Of Swords"", ""4 Of Swords"", ""4 of Swords"", ""Swords Of 4""]"
5 of Swords,"The card is vividly illustrated with a striking color palette of blues, reds, and purples, creating a dramatic and emotional atmosphere. The composition emphasizes themes of defeat, conflict, and isolation.","A solitary figure is seated at the top of a tree-like structure that merges with flowing roots below. The figure wears dark, angular armor with a cloak draped over their shoulders, exuding an imposing presence. Their relaxed but brooding posture and faint glowing crown suggest authority or victory, though the muted brightness contrasts with the somber tone of the card.","The large, barren tree with intertwining roots flowing downward in deep blue tones symbolizes entanglement and complexity. Below, defeated figures wearing crimson armor lie entangled in the roots, pierced or surrounded by swords, emphasizing themes of violence and loss.","The background features a gradient of pinks and purples, evoking a twilight atmosphere, with a large pale moon casting a glow behind the central figure.","Dramatic and emotional, using a vivid palette of blues, reds, and purples to create contrast. The detailed composition emphasizes both the grandeur and isolation of the central figure.","The card title, '5 OF SWORDS,' is written in bold white uppercase letters at the bottom, framed by a border with subtle triangular patterns in the corners.","Themes of victory at a cost, the aftermath of conflict, and the isolation of being on top. The central figure?s triumph contrasts with the defeated figures below, reflecting the moral or emotional toll of success.","Conflict, defeat, and hollow victory. A reminder of the cost of ambition and the need to evaluate the consequences of 1?s actions.","Avoiding conflict or reconciliation. A chance to move past disputes and find peace, or to recognize the futility of prolonged struggles.","['Conflict', 'Defeat', 'Victory at a Cost', 'Ambition', 'Reflection']","The tree and roots symbolize entanglement and complexity, while the defeated figures below highlight the toll of conflict. The faint glowing crown above the central figure suggests triumph tempered by isolation and moral reflection.","[""Swords Of 5"", ""5 Of Swords"", ""The 5 Swords"", ""The 5 Of Swords"", ""5 of Swords"", ""The 5 of Swords"", ""Swords 5"", ""5 Swords"", ""Five of Swords"", ""The Five of Swords""]"
6 of Swords,A futuristic scene of transition featuring a robot guiding a child.,"A humanoid robot in a flowing cloak, leading a child in a suit.",6 swords stand upright in the distance under a pink sky.,A barren green plain fading into a pink-purple sky.,"Minimalist, soft pastel palette with futuristic elements blending traditional and sci-fi symbolism.",Minimalist text in futuristic style.,Guidance and hope during transition and uncertainty.,"Transition, guidance, and hope amidst uncertainty.","Resistance to change, stagnation, or fear of moving forward.","['Transition', 'guidance', 'change.']",Guidance through uncertainty and transition.,"[""The 6 Of Swords"", ""The Six of Swords"", ""The 6 Swords"", ""The 6 of Swords"", ""6 Of Swords"", ""Swords 6"", ""Six of Swords"", ""6 Swords"", ""6 of Swords"", ""Swords Of 6""]"
7 of Swords,"The card features a bearded man in an exaggerated, cartoonish style, carrying multiple swords in a chaotic and haphazard manner. His hunched posture and dramatic grimace suggest struggle and effort.","A cartoonish, bearded man staggers forward while carrying multiple swords on his back and in his arms, with a hunched posture.",The swords are numerous and awkwardly arranged. The man's tattered clothing and mismatched attire add a sense of struggle and chaos. A knife is tucked into his belt or stuck in his side.,"The background is entirely blank, emphasizing the central figure and creating a minimalistic focus.","Minimalist comic-style illustration with thick outlines and exaggerated expressions, prioritizing humor and storytelling.","No borders or text elements are described, maintaining simplicity.","The card conveys humor and absurdity through its exaggerated style, with an undercurrent of struggle and overexertion.","Deception, strategy, or attempting to gain advantage through cleverness or underhanded means.","Getting caught, facing consequences for deception, or reevaluating 1's strategies and choices.","['Deception', 'Strategy', 'Cleverness', 'Struggle', 'Overexertion']",The overloaded man symbolizes the struggle of carrying burdens and employing cleverness to navigate challenges.,"[""The 7 of Swords"", ""7 Of Swords"", ""7 Swords"", ""Swords 7"", ""The Seven of Swords"", ""The 7 Of Swords"", ""Seven of Swords"", ""Swords Of 7"", ""The 7 Swords"", ""7 of Swords""]"
8 of Swords,"The card features a dramatic and gothic aesthetic, with a rich palette of deep reds, black, and cream. Intricate linework and bold graphic elements create a visually striking and intense design.","A blindfolded woman with her hands tied behind her back stands at the center. She wears a flowing black dress that pools onto the ground, conveying elegance and restraint. Her posture is upright but tense, with her head slightly turned in subtle defiance.","8 swords are planted upright in a semicircle around the woman, forming a symbolic prison. Barbed wire threads through the top row of swords, adding confinement. A glowing circular halo behind the woman?s head contrasts with the dark setting, symbolizing potential clarity.","The backdrop features swirling abstract patterns in deep red and black, evoking flowing blood or fabric. These dramatic textures enhance the ominous and foreboding atmosphere.","Gothic and intricate, with bold graphic elements and fine linework. A rich color palette of red, black, and cream intensifies the mood.","The card is framed by a thin, off-white border that softens the intensity of the design. The Roman numeral 'VIII' is printed in black at the bottom.","Themes of restriction, self-imposed limitations, and the challenge of finding clarity or escape. The glowing halo suggests potential for insight or liberation.","Feeling trapped or restricted, often by self-imposed limitations or mental barriers. A need to confront fears and seek clarity to break free.",A release from restrictions or a newfound sense of clarity. Overcoming fear and regaining control after a period of stagnation.,"['Restriction', 'Limitation', 'Mental Barriers', 'Insight', 'Liberation']","The blindfold and bound hands represent lack of awareness or control, while the swords symbolize confinement. The glowing halo highlights inner potential for clarity and freedom amidst struggle.","[""Swords Of 8"", ""The Eight of Swords"", ""8 Swords"", ""The 8 Of Swords"", ""The 8 Swords"", ""8 Of Swords"", ""Swords 8"", ""The 8 of Swords"", ""Eight of Swords"", ""8 of Swords""]"
9 of Swords,"The card features a tormented figure, hunched over with a despairing expression, bathed in harsh neon colors of blue, yellow, and red. Surrounding them are 9 floating swords, some dripping blood, suggesting inner turmoil and sharp pain. A brightly lit window in the background contrasts the darkness of the scene, highlighting isolation and vulnerability.","A humanoid figure sits crouched, their body twisted with anguish and fear. The exaggerated colors emphasize their emotional intensity.","9 swords float around the figure, some with blood dripping from their tips. Wisps of spiraling energy suggest mental chaos.","A stark white window shines brightly against the otherwise dark and saturated background, symbolizing a disconnect between hope and despair.","A modern, surrealistic neon palette with bold lines and exaggerated shapes. The vibrant color scheme adds to the unsettling emotional intensity.","The card features no visible borders, allowing the vivid colors and chaotic imagery to dominate the composition.","The 9 of Swords portrays themes of anxiety, nightmares, and inner conflict. The window symbolizes a distant hope, while the spiraling energy reflects the overwhelming nature of the subject's thoughts.","The 9 of Swords represents sleepless nights, intense anxiety, or being overwhelmed by 1's fears and worries.","The reversed 9 of Swords suggests overcoming anxiety, finding relief from nightmares, or gaining perspective on 1's struggles.","['Anxiety', 'Nightmares', 'Fear', 'Inner Conflict', 'Overwhelm']","The floating swords and spiraling energy embody the torment of an overactive mind, while the window represents the distant possibility of solace and clarity.","[""Nine of Swords"", ""Swords 9"", ""9 of Swords"", ""The 9 Swords"", ""The 9 Of Swords"", ""The 9 of Swords"", ""Swords Of 9"", ""9 Swords"", ""9 Of Swords"", ""The Nine of Swords""]"
10 of Swords,"The card depicts a dramatic scene of a figure pierced by scissors rather than swords. The background is dark with a red sun rising or setting, symbolizing dramatic endings or revelations. The figure, nude and kneeling, conveys vulnerability and suffering.","A human figure, kneeling and pierced by multiple large scissors, evoking themes of betrayal and pain.","The scissors dominate the card, symbolizing sharp endings or cutting ties.","The sky is purple with a red sun dominating the background, suggesting turmoil and finality.","Bold and graphic, with a mix of muted and intense colors, emphasizing drama and impact.","The words '10' and 'OF SWORDS' are written in bold red and black fonts at the top and bottom, respectively, with no visible border.","The card exudes an atmosphere of loss, finality, and transformation, urging acceptance of painful endings as a path to new beginnings.","Completion, betrayal, and inevitable endings, signaling a chance to move forward.","Recovery, resilience, and the beginning of a new chapter after hardship.","['Endings', 'Betrayal', 'Pain', 'Transition', 'Transformation']","The scissors symbolize severing connections and decisive, sharp changes; the red sun indicates cycles and new horizons.","[""Swords 10"", ""The 10 Of Swords"", ""Ten of Swords"", ""The 10 Swords"", ""The 10 of Swords"", ""10 Of Swords"", ""The Ten of Swords"", ""10 of Swords"", ""Swords Of 10"", ""10 Swords""]"
Page of Swords,"The card depicts a humanoid figure with a fish head, wearing tattered clothing, holding a walking stick, and conveying weariness and age.","A humanoid creature with a fish head, wearing old-fashioned tattered clothes, carrying a walking stick, and with a hunched posture.","The figure carries a sack over its shoulder, suggesting travel. At its feet lies a large animal skull, adding desolation.","A post-apocalyptic landscape with ruined structures, a jagged sun, stylized clouds, and a water tower on the right.","Darkly surreal with cartoonish exaggeration, bold lines, and rough shading emphasizing the grotesque and fantastical.",No specific text or border details mentioned.,"The card conveys haunting surrealism with a bleak yet whimsically dark atmosphere, combining decay and travel themes.","Curiosity, intelligence, and vigilance. A thirst for knowledge and readiness to act decisively.","Deception, arrogance, or thoughtlessness. Misuse of intelligence or recklessness in action.","['Curiosity', 'Vigilance', 'Intelligence', 'Decisiveness', 'Caution']","The fish-headed figure symbolizes curiosity and intelligence, facing a surreal and challenging world with vigilance.","[""Page Swords"", ""The Page Swords"", ""Swords Of Page"", ""Swords Page"", ""Page Of Swords"", ""The Page Of Swords""]"
Knight of Swords,"The card features a knight mounted on a white steed adorned with intricate blue and gold trappings. The knight, dressed in a flowing floral-patterned gown with a green and gold design, holds a raised sword, symbolizing determination and swift action.","The knight is depicted with a calm, focused expression, wearing a golden headdress and a dress-like garment adorned with floral patterns, seated confidently on a white horse.","The white horse is detailed with ornate blue and gold tack, emphasizing nobility and purpose.","The background is a lavish gold filigree pattern with intricate designs, exuding opulence and classical elegance. The ground beneath the horse is a rich green with subtle foliage.","Classical and ornate, reminiscent of medieval or Renaissance illuminated manuscripts with a focus on intricate patterns and rich colors.","The card does not feature visible text or borders on the artwork, relying on its ornate design to frame the central imagery.","The card conveys a sense of urgency, clarity, and decisive action, tempered with elegance and grace.","Ambition, decisiveness, and pursuing goals with confidence and speed.","Impulsiveness, recklessness, or acting without fully understanding the consequences.","['Determination', 'Action', 'Ambition', 'Speed', 'Focus']","The raised sword represents clarity and determination, while the ornate horse tack and floral attire highlight the balance between action and refinement.","[""Knight Of Swords"", ""The Knight Of Swords"", ""Swords Of Knight"", ""The Knight Swords"", ""Swords Knight"", ""Knight Swords""]"
Queen of Swords,"A skeletal figure crowned with an ornate, jeweled crown holds an upright sword in 1 hand and an open book in the other. The background is dark and mysterious, with geometric patterns and faint glowing elements.","The skeletal queen, clad in a dark robe and crowned, symbolizes intellect and detachment.","The sword represents clarity and justice, while the open book emphasizes knowledge and understanding. A faint triangular symbol in the background adds a layer of mysticism.","The dark background features glowing geometric patterns and swirling designs, adding to the card's ominous and intellectual tone.","A gothic, surreal style with dark, muted colors and intricate details, evoking a sense of solemnity and power.",The title 'Queen of Swords' appears at the bottom in an elegant white font. The card is framed with a black border.,"The card embodies themes of wisdom, clarity, and emotional detachment, with an emphasis on intellect and truth.","Independence, clarity, intellect, and justice.","Coldness, bitterness, or overly critical behavior.","['Clarity', 'Wisdom', 'Justice', 'Independence', 'Detachment']","The skeletal queen and sword symbolize the blending of intellect with an unemotional perspective, while the book highlights the pursuit of truth and understanding.","[""Swords Queen"", ""Queen Swords"", ""The Queen Swords"", ""Queen Of Swords"", ""Swords Of Queen"", ""The Queen Of Swords""]"
King of Swords,"The card features a classical, Renaissance-style depiction of a seated king, rendered in muted tones of brown, green, and red. The textured, vintage appearance aligns with historical tarot designs.","A regal, older man seated prominently, wearing a simple golden crown that signifies authority. His serious and contemplative expression exudes wisdom and gravitas, with visible lines on his face suggesting experience and maturity.","The king holds a long, straight sword in his right hand, symbolizing justice, authority, and protection. He sits on an ornate throne, with 1 arm resting on a carved, column-like armrest, adding stability and formality to his pose.","The background is plain and unadorned, with an aged, parchment-like texture that emphasizes the central figure. A patch of green grass at the base provides grounding.","Classical Renaissance style with muted tones and textured, vintage elements consistent with historical tarot designs.","A dotted, perforated-style border frames the card, enhancing its vintage aesthetic. There is no visible text aside from the card's title.","Themes of leadership, authority, and responsibility. The sword represents the king?s role as protector and enforcer of justice, while his seated pose signifies stability and control. The overall tone is solemn and reflective, emphasizing the wisdom required to wield power effectively.","Clear thinking, intellectual authority, and truth. A decisive and fair leader who values justice and integrity.","Abuse of power, manipulation, or rigidity. A warning against being overly critical or inflexible in judgment.","['Leadership', 'Authority', 'Wisdom', 'Justice', 'Stability']","The sword represents justice and protection, while the throne signifies stability and control. The king?s serious expression reflects the weight of responsibility and the wisdom gained through experience.","[""The King Of Swords"", ""Swords King"", ""King Of Swords"", ""The King Swords"", ""Swords Of King"", ""King Swords""]"
Ace of Wands,"A metallic robotic hand holds a futuristic, cylindrical wand against a swirling orange and yellow background, symbolizing energy and potential.",The robotic hand gripping the wand serves as the focal point of the card.,"The wand features small mechanical details, suggesting innovation and creativity. The swirling background emphasizes movement and dynamic energy.","The vibrant orange and yellow swirls suggest fire, energy, and action, with no static elements.","The card uses a comic book-inspired style with bold lines and vivid colors, highlighting the dynamic and energetic tone.",The title 'Ace of Wands' is displayed at the bottom in a bold white font. The card is framed by a black border.,"The card conveys themes of innovation, potential, and raw energy, symbolized by the mechanical hand and vibrant backdrop.","New beginnings, creativity, inspiration, and taking action.","Delays, lack of direction, or missed opportunities.","['Creativity', 'Inspiration', 'Action', 'Energy', 'Beginnings']","The robotic hand symbolizes human ingenuity and progress, while the fiery background represents energy, passion, and dynamic force.","[""The Ace Wands"", ""Wands Ace"", ""Ace Wands"", ""Wands Of Ace"", ""Ace Of Wands"", ""The Ace Of Wands""]"
2 of Wands,"The card depicts travel and planning tools, including a map, a backpack, and a walking stick. The symbols emphasize preparation and exploration.","The central elements are a rolled map and a traveler's backpack, symbolizing planning and readiness for a journey.","A walking stick with red accents leans against the map and backpack, while small club symbols reinforce the suit's affiliation.","The background features a dark, textured pattern that contrasts with the stark white foreground, emphasizing the planning tools.","Clean, minimalist lines with high contrast black, white, and red tones, giving the card a modern and structured aesthetic.",The text '2 of Wands' is displayed in a ribbon banner at the bottom. The corners feature the number 2 and the club symbols.,"The card conveys a sense of exploration, decision-making, and strategic preparation for future opportunities.","Planning, decisions, and taking the first steps toward a goal. A focus on expansion and future potential.","Fear of the unknown, indecision, or overthinking. Struggling to take the next step.","['Planning', 'Decisions', 'Exploration', 'Preparation']","The map symbolizes planning and foresight, while the walking stick and backpack suggest preparation and readiness for a journey.","[""Wands Of 2"", ""2 Of Wands"", ""Wands 2"", ""The 2 Wands"", ""The 2 Of Wands"", ""Two of Wands"", ""The Two of Wands"", ""2 Wands"", ""2 of Wands"", ""The 2 of Wands""]"
3 of Wands,"A serene card showing a figure gazing out over a vast ocean, contemplating future endeavors.","A figure in robes stands with their back to the viewer, holding a staff.","2 other staves stand firmly planted beside them, symbolizing support and balance.","The ocean stretches out, dotted with small ships, signifying exploration and potential.","Calm and expansive, with cool blues and greens dominating the palette.","A simple border surrounds the card, with '3 of Wands' written in elegant script.","Themes of planning, foresight, and anticipation of future success.","Planning, expansion, and looking ahead with optimism.","Delays, lack of foresight, or limited opportunities.","['Foresight', 'Expansion', 'Planning', 'Anticipation']","The ocean symbolizes limitless potential, while the ships represent ventures and opportunities.","[""The 3 Of Wands"", ""The 3 Wands"", ""Wands 3"", ""Wands Of 3"", ""3 of Wands"", ""3 Wands"", ""The Three of Wands"", ""Three of Wands"", ""3 Of Wands"", ""The 3 of Wands""]"
5 of Wands,A structured and symmetrical depiction of 5 crossed wands.,No central figure; crossed wands symbolize conflict and structure.,Leaf-like flourishes on the decorative ends of the wands.,Soft beige background contrasting with vibrant wand colors.,Traditional tarot art style with muted colors and symmetrical patterns.,Traditional tarot aesthetic with subtle flourishes.,Healthy competition or chaotic struggle among equals.,"Conflict, competition, and struggle among equals.","Resolution of conflict, avoidance of challenges.","['Conflict', 'ambition', 'struggle.']",Healthy competition or chaotic struggle.,"[""Wands Of 5"", ""Five of Wands"", ""Wands 5"", ""The Five of Wands"", ""The 5 Of Wands"", ""The 5 Wands"", ""The 5 of Wands"", ""5 of Wands"", ""5 Wands"", ""5 Of Wands""]"
