Card Name,Primary Keywords,Supporting Keywords,File Name,Variations
The Final Tarot Card,"ornate red curtains, gilded frame, glowing light behind veil","mysterious black void, golden accents, theatrical theme",the_final_tarot_card.jpg,"[""The Final Tarot Card""]"
The Fountain,"glowing purple fountain, geometric water streams, dark background","neon aesthetic, starry accents, futuristic design",the_fountain.jpg,"[""The Fountain""]"
The Hawkmoth,"two hawkmoth figures, yellow orbs, symmetrical layout","dark background, golden accents, Roman numeral II",the_hawkmoth.jpg,"[""The Hawkmoth""]"
The Horizon,"brick wall border, explosive burst design, retro pixel art","gradient sky, sunburst with rays, alternating colors",the_horizon.jpg,"[""The Horizon""]"
The House of God,"tower structure, golden lightning bolt, crumbling bricks","gray textured background, Roman numeral XVI, sharp contrast",the_house_of_god.jpg,"[""House Of God"", ""The House Of God"", ""God Of House"", ""House God"", ""The House God"", ""God House""]"
The Knight of Rings,"skeleton figure in armor, decorative sword, ornate border design","gold and black color scheme, foliage motif, starry background",the_knight_of_rings.jpg,"[""The Knight Of Rings"", ""Knight Of Rings"", ""Knight Rings"", ""The Knight Rings"", ""Rings Of Knight"", ""Rings Knight""]"
The Letter,"envelope with wax seal, two hands exchanging letter, floral background","pink border, small birds in flight, 'Twenty Seven' text",the_letter.jpg,"[""The Letter""]"
The Lone and Level Sands,"golden sand dunes, bright yellow sun, blue rays in the sky","red circular emblem, stone head buried in sand, minimalistic design",the_lone_and_level_sands.jpg,"[""The Lone And Level Sands""]"
The Night Owl,"owl with outstretched wings, starry night background, crescent moon","blue and purple gradient, glowing eyes, celestial constellations",the_night_owl.jpg,"[""The Night Owl""]"
The Performer,"vibrant costume, theatrical pose, detailed face","red and yellow accents, musical instrument, intricate background",the_performer.jpg,"[""The Performer""]"
The Publishing Goblin,"goblin figure at typewriter, stacks of books, vintage setting","earthy tones, globe motif, scattered paper fragments",the_publishing_goblin.jpg,"[""The Publishing Goblin""]"
The Pure Hierophant,"kneeling figure, woman with golden crown, cherub with bow","Roman numeral V, yellow and blue garments, vintage style",the_pure_hierophant.jpg,"[""The Pure Hierophant""]"
The Queen of Bombs,"woman mixing in bowl, pink and purple color scheme, falling bombs","apron with floral design, vintage style, explosion effects",the_queen_of_bombs.jpg,"[""Queen Bombs"", ""The Queen Bombs"", ""Bombs Queen"", ""The Queen Of Bombs"", ""Queen Of Bombs"", ""Bombs Of Queen""]"
"The Sun, Sigil","semi-circle wheel with black spokes, centered circular hub, two downward-pointing arrows, minimalist black and white design","bold number '19' in corners, straight horizontal base, stylized line and dot pattern on stem","the_sun,_sigil.jpg","[""The Sun, Sigil"", ""The Sun (Sigil)""]"
The Thing Among Reflections,"woman in dark attire with solemn expression, gothic arches with ornate designs, ghostly faces reflecting in mirrors","medallion with cherub-like faces, sepia-toned vintage aesthetic, handwritten text 'The Thing Among Reflections'",the_thing_among_reflections.jpg,"[""The Thing Among Reflections""]"
The Tradition,"monk pouring water, colorful mandala with skull design, abstract dancing figures in foreground","ornate border with patterns, number 5 in corner, contrasting modern and traditional imagery",the_tradition.jpg,"[""The Tradition""]"
The Traitor,"man in monk robe pointing upwards, vintage illustration style, framed rectangular layout","sepia tones, 'TRAITRE' text, reversed 'FAUX DEVOT' at bottom",the_traitor.jpg,"[""The Traitor""]"
The Undaunted,"blue skeleton figure with glowing eyes, red moon in background, abstract tree-like shapes","neon colors with dark tones, handwritten text 'The Undaunted', surreal and dreamlike aesthetic",the_undaunted.jpg,"[""The Undaunted""]"
The Wheel of Fortune,"wheel with spokes, crowned figure seated on top, red base with supporting columns","animal-like figures climbing and descending, 'LA ROVE DE FORTVNE' text, Roman numeral 'X'",the_wheel_of_fortune.jpg,"[""Fortune Wheel"", ""The Wheel Of Fortune"", ""The Wheel Fortune"", ""Wheel Of Fortune"", ""Wheel Fortune"", ""Fortune Of Wheel""]"
The White/Black Candle,"white candle with flame, distressed texture, black background","minimalist design, simple monochrome aesthetic",the_white-black_candle.jpg,"[""The White/Black Candle""]"
The Wild Hunt,"jester-like figure in colorful outfit, two clown-like companions, vibrant polka-dot patterns","animated posture, black and white border, handwritten text 'THE WILD HUNT'",the_wild_hunt.jpg,"[""The Wild Hunt""]"
Weird-Ass Mystical Shit,"head with third eye, mountain-like formation with antlers, intricate hand-drawn elements","wheel, flower, monochrome design, humorous text 'Weird-Ass Mystical Shit'",weird-ass_mystical_shit.jpg,"[""Weird-Ass Mystical Shit""]"
10 of Coins,"Abstract circles, geometric shapes, grid overlay, patterned border","X-shaped center, pixelated elements, asymmetrical layout",10_of_coins.jpg,"[""10 of Coins"", ""Coins Of 10"", ""10 Of Coins"", ""Ten of Coins"", ""10 Coins"", ""The 10 Of Coins"", ""The 10 Coins"", ""The 10 of Coins"", ""Coins 10"", ""The Ten of Coins""]"
4 of Wands,"Sun-like symbol at the center, grapevines and four wands forming a frame","Black-and-white line art, celebratory mood, ritualistic gathering",4_of_wands.jpg,"[""Wands Of 4"", ""4 Wands"", ""4 Of Wands"", ""Wands 4"", ""The 4 of Wands"", ""Four of Wands"", ""The 4 Of Wands"", ""4 of Wands"", ""The 4 Wands"", ""The Four of Wands""]"
The Lovers,"woman kneeling above skeleton, split horizontal design, dark landscape","gray-scale palette, flower motif, contrast between light and shadow",the_lovers.jpg,"[""The Lovers"", ""The Lovers VI""]"
King of Coins,"Dark throne with intricate design, Large coin held by figure, Open field background","Roman numeral XIII, Suspended objects, Rich earthy tones",king_of_coins.jpg,"[""King Coins"", ""King Of Coins"", ""The King Coins"", ""Coins King"", ""The King Of Coins"", ""Coins Of King""]"
Six of Pentacles,"Figure with multiple arms holding scales and pentacles, golden tones, tree imagery","Balanced distribution, interconnectedness, symbolism of charity",6_of_pentacles.jpg,"[""6 of Pentacles"", ""Six of Pentacles"", ""The 6 of Pentacles"", ""The Six of Pentacles""]"
